LCK 2019 Spring Standings,,,,,,,
,Team,Series,,Games,,,Str
1,⁠⁠Griffin,15 - 3,83%,31 - 8,79%,23,1W
2,⁠⁠SK Telecom T1,14 - 4,78%,31 - 13,70%,18,5W
3,⁠⁠Kingzone DragonX,13 - 5,72%,27 - 12,69%,15,6W
4,⁠⁠SANDBOX Gaming,13 - 5,72%,28 - 16,64%,12,2W
5,⁠⁠DAMWON Gaming,11 - 7,61%,25 - 17,60%,8,2W
6,⁠⁠Hanwha Life Esports,9 - 9,50%,20 - 21,49%,-1,1W
7,⁠⁠Gen.G,5 - 13,28%,16 - 28,36%,-12,2L
8,⁠⁠Afreeca Freecs,5 - 13,28%,14 - 29,33%,-15,3L
9,⁠⁠KT Rolster,4 - 14,22%,13 - 29,31%,-16,2L
10,⁠⁠Jin Air Green Wings,1 - 17,6%,3 - 35,8%,-32,5L